kingdom,sciName,unitName1,author,rankID,sourceIdentifier,source,notes,nomenclaturalStatus,acceptance,acceptedStr,
Fungi,Pseudocercospora cryptostegiae-madagascariensis,Pseudocercospora,"J.L. Silva, R.W. Barreto & O.L. Pereira",220,mb:540770,,,Legitimate,1,Pseudocercospora cryptostegiae-madagascariensis,
Fungi,Pseudocercospora crystallina,Pseudocercospora,Crous & M.J. Wingfield,220,mb:415552,,,Legitimate,0,Pallidocercospora crystallina,
Fungi,Pseudocercospora cubae,Pseudocercospora,P.W. Crous,220,mb:442971,,,Legitimate,1,Pseudocercospora cubae,
Fungi,Pseudocercospora cucurbitina,Pseudocercospora,(Spegazzini) U. Braun,220,mb:483029,,,Legitimate,1,Pseudocercospora cucurbitina,
Fungi,Pseudocercospora cunninghamia,Pseudocercospora,"Y. Zhang, Z.Chen Liu & Z.P. Dou",220,if:856943,,,,1,,
Fungi,Pseudocercospora cunninghamiae,Pseudocercospora,"Y. Zhang, Z.Chen Liu & Z.P. Dou",220,if:859557,,,,1,Pseudocercospora cunninghamiae,
Fungi,Pseudocercospora cupheae,Pseudocercospora,(Sydow) U. Braun,220,mb:460166,,,Legitimate,1,Pseudocercospora cupheae,
Fungi,Pseudocercospora curatellae,Pseudocercospora,(Sydow) Deighton,220,mb:321559,,,Legitimate,0,Scolecostigmina curatellae,
Fungi,Pseudocercospora curculiginis,Pseudocercospora,Y.L. Guo & X.J. Liu,220,mb:359533,,,Legitimate,1,Pseudocercospora curculiginis,
Fungi,Pseudocercospora curcumicola,Pseudocercospora,"A. Yoshida, I. Araki & C. Nakash.",220,mb:809028,,,Legitimate,1,,
Fungi,Pseudocercospora curta,Pseudocercospora,(Sydow) U. Braun & Crous,220,mb:484917,,,Legitimate,1,Pseudocercospora curta,
Fungi,Pseudocercospora curtisiae,Pseudocercospora,(Chupp & Doidge) Crous & U. Braun,220,mb:415191,,,Legitimate,1,Pseudocercospora curtisiae,
Fungi,Pseudocercospora cyathae,Pseudocercospora,C. Nakashima & S. Inaba,220,mb:500761,,,Orthographic variant,0,Pseudocercospora cyatheae,
Fungi,Pseudocercospora cyatheae,Pseudocercospora,C. Nakashima & S. Inaba,220,mb:357298,,,Legitimate,1,Pseudocercospora cyatheae,
Fungi,Pseudocercospora cyatheicola,Pseudocercospora,Crous & R.G. Shivas,220,mb:581705,,,Legitimate,1,Pseudocercospora cyatheicola,
Fungi,Pseudocercospora cyathicola,Pseudocercospora,Crous & R.G. Shivas,220,mb:560163,,,Legitimate,1,Pseudocercospora cyathicola,
Fungi,Pseudocercospora cyathulae,Pseudocercospora,(Sydow) U. Braun,220,mb:814580,,,Legitimate,1,,
Fungi,Pseudocercospora cybistacis,Pseudocercospora,(Hennings) X.J. Liu & Y.L. Guo,220,mb:126479,,,Legitimate,1,Pseudocercospora cybistacis,
Fungi,Pseudocercospora cycleae,Pseudocercospora,(Chiddarwar) Deighton,220,mb:321560,,,Legitimate,1,Pseudocercospora cycleae,
Fungi,Pseudocercospora cyclosori,Pseudocercospora,Haldar & J.B. Ray ex R. Kirschner,220,mb:556310,,,Legitimate,1,Pseudocercospora cyclosori,
Fungi,Pseudocercospora cydoniae,Pseudocercospora,(Ellis & Everhart) U. Braun & H.D. Shin,220,mb:359534,,,Illegitimate,1,Pseudocercospora cydoniae,
Fungi,Pseudocercospora cydoniae,Pseudocercospora,(Ellis & Everhart) Y.L. Guo & X.J. Liu,220,mb:361155,,,Legitimate,1,Pseudocercospora cydoniae,
Fungi,Pseudocercospora cylindrata,Pseudocercospora,(Chupp & Linder) N. Pons & B. Sutton,220,mb:135486,,,Legitimate,1,Pseudocercospora cylindrata,
Fungi,Pseudocercospora cylindrosporioides,Pseudocercospora,(Solheim & Chupp) Y.L. Guo & X.J. Liu,220,mb:359172,,,Legitimate,1,Pseudocercospora cylindrosporioides,
Fungi,Pseudocercospora cymbidiicola,Pseudocercospora,U. Braun & C.F. Hill,220,mb:484928,,,Legitimate,1,Pseudocercospora cymbidiicola,
Fungi,Pseudocercospora cymbopogonis,Pseudocercospora,(J.M. Yen) J.M. Yen,220,mb:321561,,,Legitimate,1,Pseudocercospora cymbopogonis,
Fungi,Pseudocercospora cynometrae,Pseudocercospora,Deighton,220,mb:131723,,,Legitimate,1,Pseudocercospora cynometrae,
Fungi,Pseudocercospora cypripedii,Pseudocercospora,(Ellis & Dearness) U. Braun & Crous,220,mb:450874,,,Legitimate,1,Pseudocercospora cypripedii,
Fungi,Pseudocercospora daemiae,Pseudocercospora,(A.K. Kar & M. Mandal) Deighton,220,mb:120296,,,Legitimate,1,Pseudocercospora daemiae,
Fungi,Pseudocercospora dalbergiae,Pseudocercospora,(S.H. Sun) J.M. Yen,220,mb:321563,,,Legitimate,1,Pseudocercospora dalbergiae,
Fungi,Pseudocercospora dalyelliae,Pseudocercospora,"Y.P. Tan, Bishop-Hurley & R.G. Shivas",220,mb:845795,,,Legitimate,1,,
Fungi,Pseudocercospora danaecola,Pseudocercospora,(Vienn.-Bourg.) Pirnia & Zare,220,if:625535,,,,1,,
Fungi,Pseudocercospora danaicola,Pseudocercospora,(Viennot-Bourgin) Pirnia & Zare,220,mb:563391,,,Legitimate,1,,
Fungi,Pseudocercospora daphniphylli,Pseudocercospora,(Katsuki & Tak. Kobayashi) Deighton,220,mb:131724,,,Legitimate,1,Pseudocercospora daphniphylli,
Fungi,Pseudocercospora daphniphyllicola,Pseudocercospora,U. Braun & Hönig,220,mb:815053,,,Legitimate,1,,
Fungi,Pseudocercospora daspurensis,Pseudocercospora,(A.K. Kar & M. Mandal) Deighton,220,mb:321564,,,Legitimate,1,Pseudocercospora daspurensis,
Fungi,Pseudocercospora daturae,Pseudocercospora,Chiddarwar,220,mb:304345,,,Legitimate,1,Pseudocercospora daturae,
Fungi,Pseudocercospora daturina,Pseudocercospora,(J.M. Yen) Deighton,220,mb:321565,,,Legitimate,1,Pseudocercospora daturina,
Fungi,Pseudocercospora davalliae,Pseudocercospora,(A.K. Kar & M. Mandal) U. Braun & Crous,220,mb:433761,,,Legitimate,1,Pseudocercospora davalliae,
Fungi,Pseudocercospora davalliicola,Pseudocercospora,U. Braun,220,mb:805524,,,Legitimate,1,Pseudocercospora davalliicola,
Fungi,Pseudocercospora davidiicola,Pseudocercospora,"C. Nakashima, H. Horie & Tak. Kobayashi",220,mb:533140,,,Legitimate,1,Pseudocercospora davidiicola,
Fungi,Pseudocercospora debregeasiae,Pseudocercospora,Y.L. Guo,220,mb:570076,,,Legitimate,1,Pseudocercospora debregeasiae,
Fungi,Pseudocercospora decumariae,Pseudocercospora,(Tracy & Earle) U. Braun & Crous,220,mb:462393,,,Legitimate,1,Pseudocercospora decumariae,
Fungi,Pseudocercospora deglupta,Pseudocercospora,P.W. Crous,220,mb:442972,,,Legitimate,1,Pseudocercospora deglupta,
Fungi,Pseudocercospora deightonii,Pseudocercospora,Minter,220,mb:113681,,,Legitimate,1,Pseudocercospora deightonii,
Fungi,Pseudocercospora deinbolliae,Pseudocercospora,Deighton,220,mb:321566,,,Legitimate,1,Pseudocercospora deinbolliae,
Fungi,Pseudocercospora delonicicola,Pseudocercospora,"C. Nakashima, L. Suhaizan & I. Nurul Faziha",220,mb:838198,,,Legitimate,1,,
Fungi,Pseudocercospora delonicis,Pseudocercospora,(J.M. Yen) J.M. Yen,220,mb:113058,,,Legitimate,1,Pseudocercospora delonicis,
Fungi,Pseudocercospora dendrobii,Pseudocercospora,(H.C. Burnett) U. Braun & Crous,220,mb:455821,,,Illegitimate,1,Pseudocercospora dendrobii,
Fungi,Pseudocercospora dendrobii,Pseudocercospora,Goh & W.H. Hsieh,220,mb:125209,,,Legitimate,1,Pseudocercospora dendrobii,
Fungi,Pseudocercospora denticulata,Pseudocercospora,P.W. Crous,220,mb:442973,,,Legitimate,1,Pseudocercospora denticulata,
Fungi,Pseudocercospora depazeoides,Pseudocercospora,(Desmazières) U. Braun & Crous,220,mb:814570,,,Legitimate,1,,
Fungi,Pseudocercospora desmodii-salicifolii,Pseudocercospora,Deighton,220,mb:131704,,,Legitimate,1,Pseudocercospora desmodii-salicifolii,
Fungi,Pseudocercospora desmodiicola,Pseudocercospora,(B. Rai & Kamal) U. Braun & Crous,220,mb:438129,,,Legitimate,1,Pseudocercospora desmodiicola,
